epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7066689729690552,0.8616902828216553,0.1183537095785141,0.7279744148254395,0.671587347984314,0.8841167092323303,0.9743954539299011,0.028311464935541153,0.9239713549613953,0.8371150493621826
1,0.8166030049324036,0.939051628112793,0.06555105000734329,0.8318551778793335,0.7981938123703003,0.9059967398643494,0.9829767346382141,0.021625593304634094,0.9225000143051147,0.8970826864242554
2,0.8395276069641113,0.9525023102760315,0.05383814871311188,0.8513854146003723,0.8218131065368652,0.9197731018066406,0.9849096536636353,0.021123595535755157,0.926446259021759,0.908427894115448
3,0.8435220718383789,0.9546903967857361,0.05184720829129219,0.8551971316337585,0.8287599682807922,0.927066445350647,0.985637366771698,0.019063081592321396,0.9316872358322144,0.917341947555542
4,0.8499478697776794,0.9612181186676025,0.04483763501048088,0.8618597388267517,0.8386592268943787,0.930307924747467,0.9866259098052979,0.018346508964896202,0.9363110065460205,0.917341947555542
5,0.8610628843307495,0.965658962726593,0.04153286665678024,0.8723404407501221,0.847342848777771,0.9327390789985657,0.9864314198493958,0.018253358080983162,0.9363636374473572,0.9181523323059082
6,0.8600208163261414,0.9631003141403198,0.04376392811536789,0.8716481924057007,0.8468217849731445,0.9286872148513794,0.9880728721618652,0.017218761146068573,0.9386909604072571,0.9181523323059082
7,0.8643625974655151,0.9661098122596741,0.04034089669585228,0.8749330043792725,0.8504689335823059,0.9335494041442871,0.9875118136405945,0.01725594699382782,0.9419087171554565,0.9197731018066406
8,0.8647099733352661,0.9681769013404846,0.03838132321834564,0.8750669360160828,0.8515109419822693,0.9351701736450195,0.9878976941108704,0.017152003943920135,0.9419568777084351,0.9205834865570068
9,0.8612365126609802,0.965314507484436,0.041338615119457245,0.869301974773407,0.8478638529777527,0.9351701736450195,0.9878367781639099,0.017099017277359962,0.942052960395813,0.9222041964530945
10,0.8598471879959106,0.9642050266265869,0.04141183942556381,0.8720971941947937,0.8478638529777527,0.9343597888946533,0.9887228012084961,0.015846064314246178,0.9418121576309204,0.9181523323059082
11,0.8704411387443542,0.9691689014434814,0.03745980188250542,0.8791267275810242,0.8601945042610168,0.9311183094978333,0.9890401363372803,0.01623413898050785,0.935960590839386,0.9238249659538269
12,0.8680097460746765,0.9695941209793091,0.03667942062020302,0.8773082494735718,0.8581104278564453,0.930307924747467,0.9892654418945312,0.016070904210209846,0.9364686608314514,0.9197731018066406
13,0.8768669962882996,0.9711434841156006,0.03569983318448067,0.8857651352882385,0.8645362854003906,0.9327390789985657,0.9895160794258118,0.015654059126973152,0.9416666626930237,0.9157212376594543
14,0.8726988434791565,0.9727742671966553,0.03262792527675629,0.8837250471115112,0.8619312047958374,0.9384116530418396,0.9897559285163879,0.01475762203335762,0.9441248774528503,0.9311183094978333
15,0.8819034099578857,0.9741843342781067,0.031460102647542953,0.8912386894226074,0.8709621429443359,0.9376012682914734,0.990689754486084,0.015020668506622314,0.9410319328308105,0.9311183094978333
16,0.8803403973579407,0.9741082787513733,0.031198933720588684,0.8898395895957947,0.8669676780700684,0.9384116530418396,0.9900277853012085,0.014992793090641499,0.945364236831665,0.9254456758499146
17,0.8924974203109741,0.9763989448547363,0.02913893386721611,0.9010832905769348,0.8812087774276733,0.9408428072929382,0.9904949069023132,0.014529366977512836,0.9503722190856934,0.9311183094978333
18,0.8869398832321167,0.9769375920295715,0.02806044928729534,0.8951383829116821,0.8761723041534424,0.9440842866897583,0.9914830327033997,0.013785849325358868,0.9505358338356018,0.9343597888946533
19,0.8928447365760803,0.9781844019889832,0.026746831834316254,0.9017761945724487,0.881729781627655,0.9432739019393921,0.99211585521698,0.012869155034422874,0.9484029412269592,0.9384116530418396
20,0.8921500444412231,0.9782923460006714,0.026784107089042664,0.9020829796791077,0.8799930810928345,0.9440842866897583,0.9923165440559387,0.012649144046008587,0.9500409364700317,0.940032422542572
21,0.898749589920044,0.9785876274108887,0.026874925941228867,0.9060891270637512,0.886418879032135,0.9448946714401245,0.9921632409095764,0.012640542350709438,0.9498355388641357,0.9359805583953857
22,0.8907606601715088,0.9774265885353088,0.027348576113581657,0.8991119265556335,0.8791247010231018,0.9424635171890259,0.9926460981369019,0.01226065307855606,0.9490968585014343,0.936790943145752
23,0.8938867449760437,0.9795659780502319,0.02516760677099228,0.9027678966522217,0.8836401700973511,0.9440842866897583,0.9926402568817139,0.0121465427801013,0.9506579041481018,0.936790943145752
24,0.8985759019851685,0.9797400236129761,0.024712570011615753,0.9062000513076782,0.8858978748321533,0.945704996585846,0.9925054311752319,0.012238203547894955,0.9514403343200684,0.936790943145752
25,0.8954498171806335,0.9797577857971191,0.0249942559748888,0.9032601118087769,0.8853768706321716,0.9465153813362122,0.9923840165138245,0.012276644818484783,0.9521452188491821,0.9351701736450195
26,0.8895449638366699,0.978847324848175,0.025801658630371094,0.8994324207305908,0.8806877136230469,0.9465153813362122,0.9921497702598572,0.012490070424973965,0.9514802694320679,0.9376012682914734
27,0.8921500444412231,0.9794952869415283,0.025352727621793747,0.9023610949516296,0.8827717900276184,0.945704996585846,0.9922817945480347,0.012336955405771732,0.9506984353065491,0.9376012682914734
28,0.8907606601715088,0.9796909093856812,0.024752696976065636,0.9005514979362488,0.8791247010231018,0.945704996585846,0.9924163818359375,0.012244686484336853,0.9506984353065491,0.9376012682914734
29,0.8982285261154175,0.9801860451698303,0.024688420817255974,0.9064939618110657,0.8872872591018677,0.9448946714401245,0.9921343922615051,0.012704679742455482,0.9488449096679688,0.9319286942481995
